Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
09/03/2019,LTCUSD,55.33,59,55.12,57.43,235354.07,13477189.6
08/03/2019,LTCUSD,56.51,57.38,54.02,55.33,219801.01,12288137.62
07/03/2019,LTCUSD,55.17,58.87,53.66,56.51,411475.52,23251830.54
06/03/2019,LTCUSD,52.3,56.58,51.22,55.17,301137.8,16272838.5
05/03/2019,LTCUSD,45.64,53.98,45.33,52.3,376918.78,19266102.65
04/03/2019,LTCUSD,47.49,48,44.4,45.64,174500.27,8037941.91
03/03/2019,LTCUSD,48.25,48.73,46.78,47.49,91744.82,4392082.01
02/03/2019,LTCUSD,46.81,49.11,46.41,48.25,121269.78,5794584.8
01/03/2019,LTCUSD,45.44,48.7,45.26,46.81,199177.21,9402655.69
28/02/2019,LTCUSD,44.96,46.65,44.38,45.44,186817.89,8521238.35
27/02/2019,LTCUSD,44.66,45.31,42.4,44.96,194640.03,8617709.82
26/02/2019,LTCUSD,45.37,45.7,44.05,44.66,123268.04,5518481.96
25/02/2019,LTCUSD,43.57,46.84,43.2,45.37,264717.27,11926838.2
24/02/2019,LTCUSD,51.19,53.49,42.5,43.57,524699.34,24828123.39
23/02/2019,LTCUSD,49.07,51.73,48.02,51.19,238649.55,11974254.93
22/02/2019,LTCUSD,48.46,49.47,47.83,49.07,162609.19,7948917.74
21/02/2019,LTCUSD,51.08,51.27,47.52,48.46,228567.44,11243692.37
20/02/2019,LTCUSD,46.91,51.91,46.24,51.08,354037.81,17695460.15
19/02/2019,LTCUSD,47.34,48.8,46.49,46.91,276660.16,13158563
18/02/2019,LTCUSD,43.45,48.72,43.12,47.34,477161.13,21986842.52
17/02/2019,LTCUSD,43.15,44.44,42.06,43.45,188531.85,8106329.06
16/02/2019,LTCUSD,42.08,43.91,41.92,43.15,141824.19,6106492.51
15/02/2019,LTCUSD,40.93,44.2,40.81,42.08,187513.19,7884816.28
14/02/2019,LTCUSD,41.21,41.99,39.64,40.93,129061.93,5301573.51
13/02/2019,LTCUSD,43.35,44.34,40.24,41.21,201482.89,8471033.07
12/02/2019,LTCUSD,42.37,44.06,41.4,43.35,186547.85,8010085.57
11/02/2019,LTCUSD,46.51,46.55,41.11,42.37,296191.09,12843798.4
10/02/2019,LTCUSD,44.2,47,41.72,46.51,327183.91,14725993.88
09/02/2019,LTCUSD,42.56,46.01,41.79,44.2,375044.94,16303713.9
08/02/2019,LTCUSD,32.85,44.44,32.52,42.56,732137.47,28865386.31
07/02/2019,LTCUSD,32.47,33.19,32.41,32.85,70777.66,2319676.97
06/02/2019,LTCUSD,33.95,34.1,31.95,32.47,159730.69,5215475.44
05/02/2019,LTCUSD,33.64,34.15,33.29,33.95,90917.86,3065715.68
04/02/2019,LTCUSD,32.87,34.04,32.87,33.64,108709.9,3650269.72
03/02/2019,LTCUSD,34.18,34.58,32.47,32.87,181736.38,6087193.31
02/02/2019,LTCUSD,32.37,34.66,32.19,34.18,145054.34,4812267.37
01/02/2019,LTCUSD,31.24,33.21,30.57,32.37,189140.88,6074436.39
31/01/2019,LTCUSD,31.53,32.22,30.82,31.24,96306.47,3030999.36
30/01/2019,LTCUSD,30.69,31.75,30.42,31.53,111601.46,3484632.6
29/01/2019,LTCUSD,30.96,31.21,29.86,30.69,85263.97,2608991.43
28/01/2019,LTCUSD,32.02,32.27,29.81,30.96,194687.67,5989448.37
27/01/2019,LTCUSD,32.64,32.9,31.06,32.02,98025.38,3167658.81
26/01/2019,LTCUSD,32.73,33.99,32.51,32.64,135810.28,4490514.28
25/01/2019,LTCUSD,32.47,32.95,31.84,32.73,145986.93,4720035.29
24/01/2019,LTCUSD,31.6,33.13,31.08,32.47,133865.54,4304147.88
23/01/2019,LTCUSD,31.48,32.2,31.31,31.6,98140.77,3111494.67
22/01/2019,LTCUSD,30.82,32.01,29.43,31.48,159079.17,4935419.91
21/01/2019,LTCUSD,30.61,31.37,30.38,30.82,84998.87,2616274.15
20/01/2019,LTCUSD,32.22,33.08,30.2,30.61,159522,4998679.51
19/01/2019,LTCUSD,30.96,33.15,30.95,32.22,110403.05,3548316.58
18/01/2019,LTCUSD,31.62,31.7,30.55,30.96,80798.25,2511289.52
17/01/2019,LTCUSD,31.4,31.73,29.98,31.62,160402.37,4958088.15
16/01/2019,LTCUSD,31.01,32.15,30.69,31.4,102471.59,3203398.71
15/01/2019,LTCUSD,32.07,32.48,30.22,31.01,170820.73,5395721.3
14/01/2019,LTCUSD,29.92,32.96,29.8,32.07,185346.71,5845241.31
13/01/2019,LTCUSD,32.04,32.88,29.51,29.92,239906.21,7386545.87
12/01/2019,LTCUSD,31.79,32.61,31.5,32.04,112336.85,3593169.52
11/01/2019,LTCUSD,33.27,33.71,30.73,31.79,227730.57,7420590.27
10/01/2019,LTCUSD,38.58,39.25,31.91,33.27,443924.07,15295243.31
09/01/2019,LTCUSD,39.13,40.03,38.31,38.58,165237.49,6480577.12
08/01/2019,LTCUSD,37.66,41.27,37.52,39.13,362153.34,14262230.25
07/01/2019,LTCUSD,38.88,39.48,37.21,37.66,234728.42,8951652.74
06/01/2019,LTCUSD,34.48,40.12,34.06,38.88,455906.14,17188518.79
05/01/2019,LTCUSD,32.02,36.11,32.01,34.48,333280.74,11443033.08
04/01/2019,LTCUSD,31.6,32.64,31.02,32.02,137648.46,4379612.16
03/01/2019,LTCUSD,32.94,33.1,31,31.6,115963.67,3700351.32
02/01/2019,LTCUSD,31.68,33.62,31.33,32.94,145815.46,4724392.76
01/01/2019,LTCUSD,29.78,31.96,29.12,31.68,159418.7,4840896.41
